ano,posicao,escola,pontos,link,letra
1970,1,Portela Lendas e mistérios da Amazônia L A S,88.0,https://galeriadosamba.com.br/escolas-de-samba/portela/1970/,"Nesta avenida colorida
A Portela faz seu carnaval
Lendas e mistérios da Amazônia
Cantamos neste samba original
Dizem que os astros se amaram
E não puderam se casar
 
A lua apaixonada chorou tanto
Que do seu pranto nasceu o rio e o mar
 
E dizem mais
Jaçanã, bela como uma flor
Certa manhã viu ser proibido o seu amor
Pois um valente guerreiro
Por ela se apaixonou
Foi sacrificada pela ira do pajé
E na vitória-régia
Ela se transformou
Quando chegava a primavera
A estação das flores
Havia uma festa de amores
Era a tradição das Amazonas
Mulheres guerreiras
Aquele ambiente de alegria
Só terminava ao raiar do dia
 
Ô esquindô lá, lá
Ô esquindô lê, lê
Olha só quem vem lá
É o saci pererê"
1970,2,"Acadêmicos do Salgueiro Praça Onze, carioca da gema L A S",83.0,https://galeriadosamba.com.br/escolas-de-samba/academicos-do-salgueiro/1970/,"És carioca da gema, 
Digna de um poema, 
Ó Praça Onze, 
Eterna capital 
Do nosso samba brasileiro, 
Tradição do carnaval. 
Nas madrugadas em festas, 
Boêmios esqueciam serestas 
Para comporem os grupos de batuqueiros 
Iluminados pela luz de candeeiros. 
Tia Ciata, 
Que era bamba pra valer, 
Não desprezava um pagode 
Antes do dia amanhecer
Oi, abre a roda, meninada,
Que o samba virou batucada
Pau pau-pereira
Pau-pereira ingratidão
Todo pau o vento leva
Só o pau-pereira não"
1970,3,Estação Primeira de Mangueira Um cântico à natureza L A,79.0,https://galeriadosamba.com.br/escolas-de-samba/estacao-primeira-de-mangueira/1970/,"Brilhou no céu o sol, oh, que beleza
Vem contemplar a natureza
Vem abrasar a imensidão, imensidão
Onde a pesca ou a plantação
Pedras preciosas e mineração
Rio, cachoeiras e cascatas
Frutos, pássaros e matas
Enobrecem a nação
Oh! Lugar, Oh! Lugar
Tudo o que se planta dá
Terra igual a essa não há 
Imenso torrão de natureza incomum
Onde envaidece qualquer um
Praias e flores
Inspiram amores
E o petróleo lhe deu mais vida
Solo de vultos imortais
Direi seu nome e não esquecerão jamais
Oh !  Pátria querida
De natureza tão sutil
Tens belezas mil
Isso é Brasil, isso é Brasil, isso é Brasil"
1970,4,Mocidade Independente de Padre Miguel O meu pé de laranja lima L A S,78.0,https://galeriadosamba.com.br/escolas-de-samba/mocidade-independente-de-padre-miguel/1970/,"Era uma vez
Frase que traz felicidade
Às pequeninas majestades
No seu reino de ilusões
Reis, fadas e rainhas
As estórias contadas pelas dindinhas
Entre outras seduções
Dominam suas imaginações
Nas inocentes travessuras
Merecem ternura e muita compreensão
No seu reino de alegria
Do seu mundo de fantasia
Não as devemos despertar
Para as tristezas enegrecidas
Dos infortúnios da vida
Oh como é triste fazer a criança chorar
Oh crianças queridas 
Alegrias coloridas 
Esperança de  toda a geração
Eis a mensagem
Continuem o espetaculo
Ao sabor dos seus corações
Ah eu entrei na roda
Eu entrei na roda-dança
Eu entrei na contra-dança
Eu não sei dançar"
1970,5,Unidos de Vila Isabel Glórias gaúchas L A,77.0,https://galeriadosamba.com.br/escolas-de-samba/unidos-de-vila-isabel/1970/,"Desfila a Vila novamente incrementada
E desta vez tem o Rio Grande na jogada
Com sua glórias e tradições
Suas histórias e seus brasões
Tem gaúcho lá nos Pampas que não é de brincadeira
Estadista de renome já nos deu este torrão
Foi rainha da beleza a farroupilha hospitaleira
É a terra da videira, do churrasco e chimarrão
 
Vamos cantar
Gentes do meridião
Caminhando pela estrada
Sem espora e sem gibão
 
Toma conta do rebanho
Negrinho do pastoreio
Sonha e canto o teu sonho
No viola o violeiro
E o gaúcho forasteiro 
Contemplando o céu azul
Até o norte brasileiro
Vai cantarolando uma canção do sul
 
Vou-me embora, vou-me embora
Prenda minha
Tenho muito que fazer
Eu vou partir para bem longe
Prenda minha
Pro campo do bem-querer"
1970,6,"Imperatriz Leopoldinense Oropa, França e Bahia L A S",74.0,https://galeriadosamba.com.br/escolas-de-samba/imperatriz-leopoldinense/1970/,"Na alvorada de glória
Da literatura brasileira
Quando um marco transformou a 
Velha história
Da arte numa nova fronteira
Dentro da semana modernista
Criou a independência cultural
Deu plena liberdade ao artista
Desprezando a tradição neste verso original
 
O rei mandou me chamar
Pra casar com sua ""fia""
O dote que ele me dava
Oropa, França e Bahia
 
Vibrante, surgiu da lenda o bandeirante
Sob a luz dos pirilampos
Perdido nos campos a procura do mar
Sem saber voltar, sem saber voltar
Macunaíma, nego sonso, feiticeiro
Cobra Norato e a rainha Luzia
São personagens do cenário brasileiro
Como a mulata, o café e o vatapá
No carnaval, o arlequim e a colombina
Linda menina, amada pelo pierrô
Parece o lamento da prece
 
A voz derradeira da porta-bandeira
morrendo de amor
 
É tempo de amar o que se amou 
Ô,ô,ô,ô,ô,ô,ô,ô,ô"
1970,7,Estácio de Sá Terra de Caruaru L A,72.0,https://galeriadosamba.com.br/escolas-de-samba/estacio-de-sa/1970/,"Em Pernambuco, na terra de Caruaru
Berço de tantas tradições
Do frevo e maracatu
Os violeiros, cancioneiros
Zabumbas, tantãs e pandeiros
Uma canção e sanfoneiros
Pregoeiros na feira
Viajantes caixeiros
Negros trabalhavam
Na colheita do algodão
Filhos de pioneiros estudavam
Para o progresso da nação
Na casa grande da fazenda
Igreja da Conceição
O requinte deste tema
O passado de glória
Na cidade moderna de Caruaru
Enriquecem nosso poema
A festa junina, o ciclo do natal
E o maracatu no carnaval
Oi, maracatu, maracatu cantarei
Oi, maracatu, maracatu gingarei"
1970,8,Império Serrano Arte em tom maior L A,65.0,https://galeriadosamba.com.br/escolas-de-samba/imperio-serrano/1970/,"Lá lá lá rá lá lá
Lá lá lá lá
Tudo isto quer dizer Brasil, Brasil
Brasil
És a natureza em festa
Até parece seresta
A passarada cantando em seu louvor
Oh meu Brasil
Glória ao colonizador
Que evolui esse torrão
O negro foi braço forte da evolução
Terra de artistas geniais
Ainda existem nos salões de belas-artes
Como testemunhas imortais
São belos nossos rios e cascatas
Terras e verdes matas
E campina multicor
É o orgulho de uma raça
Quando brilha o astro rei
Tudo é esplendor
Essa paisagem tão bela
Que cantamos nesta passarela
O velho mundo conheceu
Usos e costumes em aquarela"
1970,9,Unidos do Jacarezinho O fabuloso mundo do circo L A,50.0,https://galeriadosamba.com.br/escolas-de-samba/unidos-do-jacarezinho/1970/,"O circo chegou aqui
Vamos aplaudir
Veio lá do estrangeiro
Para o nosso solo brasileiro
Trazendo alegria a milhões de corações
Faz vibrar as multidões
Lalaia lalaia laia laia laia laia
O circo é tradição mundial
E o palhaço é a figura principal
Os trapezistas sensacionais
Os domadores desafiam os animais
E no século XX
Despontaram para a platéia brasileira
O famoso Chimarrão
Dudu e Benjamim de Oliveira
Sorria, meu povo sorria
Com Fred, Carequinha e Arrelia
Lá, lá, lá, lá"
1970,10,"Acadêmicos de Santa Cruz Bravura, Amor e Beleza da Mulher Brasileira L A",37.0,https://galeriadosamba.com.br/escolas-de-samba/academicos-de-santa-cruz/1970/,"Brasil
És um gigante encantado
Representado por teu pavilhão
Brasil
Hoje exaltamos o teu passado
Simbolizando as glórias em nossos anais
A despontar desta história
Com bravura, amor e glória
Da mulher que o mundo criou
Exuberância de Clara Camarão
Que em Pernambuco
Cumpriu sua missão
Brasil
Simbolismo de riqueza
Desde a época colonial
Com heroísmo da mulher
Houve transformação em geral
Ao desbravar tua nobreza
Com angústia e tristeza
Nos campos irmanadas para lutar
Anita Garibaldi, Bárbara Heliodora
Gênios imortais de nossa história
Ana Néri, a famosa enfermeira,
Que orgulhou todo torrão brasileiro
Independência e Abolição
Foram os fatos mais importantes desta nação
Quando os negros envaidecidos de alegria
Comemoravam a libertação
Brasil
Simbolismo de riqueza
Da beleza universal
Do samba altaneiro
E do patriotismo nacional"
